# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
235671111,277.7148,23.1081,9.97,G04103
235762566,276.7238,24.8635,9.93,G04103
235784135,282.5093,15.3123,6.96,G04103
235883596,282.7555,15.0199,8.69,G04103
235885401,282.8167,14.6782,10.66,G04103
235886834,282.7744,14.4048,8.73,G04103
236850157,279.5884,14.381,7.45,G04103
256180195,276.2346,20.0496,9.39,G04103
258402425,274.4167,23.9176,9.87,G04069;G04242;G04039;G04103
258485268,278.0983,21.7266,9.13,G04103
258662268,278.2306,22.9307,9.84,G04103
264128762,271.3495,17.0791,10.06,G04103
278191971,281.168,23.5894,5.89,G04103
282038438,281.4155,20.5443,3.77,G04211;G04103
285191527,272.4434,21.3481,7.32,G04103
285297108,272.8865,18.6476,9.93,G04103
285399943,273.0214,19.0744,9.91,G04103
285503466,279.7662,14.7249,9.45,G04103
285599863,280.7728,16.643,7.68,G04103
286977410,271.5839,15.5741,7.76,G04103
287625856,276.5042,15.7581,7.01,G04103
296137570,277.9805,18.8466,9.53,G04103
296145505,277.8626,23.4873,10.55,G04103
311101589,279.4275,14.7344,8.98,G04103
314288370,277.8168,21.7665,10.38,G04103
314351095,277.806,18.3163,9.17,G04103
317377044,280.5465,25.2797,10.48,G04103
317729879,281.0238,25.2181,10.0,G04103
322041719,278.1996,24.6794,7.37,G04103
322042816,278.2012,24.142,7.9,G04103
322044049,278.2449,24.3305,9.56,G04103
322044613,278.2701,24.6316,10.87,G04103
322356178,278.8149,24.6502,8.28,G04103
322710502,279.2932,24.4326,6.98,G04103
322870922,279.5018,25.2796,9.92,G04103
322871615,279.5102,24.975,9.46,G04103
329447359,273.2786,20.3261,8.38,G04103
329668670,273.751,20.6168,10.17,G04103
329817476,273.7396,18.4745,7.67,G04103
333051764,274.9933,18.0142,11.4,G04103
333150809,275.0681,23.4519,9.91,G04103
337871457,283.2021,14.8578,9.08,G04103
338582603,283.523,14.592,10.28,G04103
342433587,276.5122,23.2543,8.28,G04103
342433680,276.4798,23.2037,8.84,G04103
342644081,276.8221,19.6652,10.39,G04103
342790178,276.9653,20.2464,10.69,G04103
346064390,280.0092,22.9815,10.39,G04103
346664793,280.772,22.7906,10.38,G04103
348515036,282.1373,20.8361,8.32,G04103
406858047,273.9798,17.4602,9.35,G04103
416189581,273.2332,18.7259,9.41,G04103
423251905,277.3253,24.7162,9.85,G04103
462700825,270.4668,20.1446,7.91,G04103
462709084,270.6058,22.3804,9.83,G04103
462767818,277.3648,13.8546,6.6,G04103
49967199,277.8692,13.9523,8.8,G04103
50082653,278.0091,15.2322,10.47,G04103
50163037,278.0942,17.3461,9.83,G04103
50388200,278.3883,15.9739,8.27,G04103
50594432,278.6095,17.7332,7.88,G04103
50603587,278.5581,14.4683,7.53,G04103
50776019,278.7136,14.733,7.61,G04103
50785042,278.6981,17.8992,8.53,G04103
72963524,274.4168,16.1513,8.5,G04103
73160604,281.0415,14.0618,10.01,G04103
73169977,281.0807,16.4594,10.08,G04103
73268679,281.1611,15.6332,7.94,G04103
73654591,281.3933,14.4165,8.36,G04103
8088752,278.6806,23.4859,8.6,G04103
8276065,279.0765,23.826,9.21,G04103
8350158,279.0628,22.9978,8.67,G04103
10126300,287.7013,19.7468,7.87,G04103
109645221,290.8737,23.976,7.17,G04103;G04209
110418801,291.4064,26.562,10.15,G04103
110548523,291.433,24.0573,9.43,G04103
111436715,291.9195,25.1547,10.23,G04103
111669871,292.0997,26.6175,8.54,G04103
112172486,292.3393,26.3336,8.02,G04103
115139112,285.5902,24.1891,8.11,G04103
115143039,285.5303,25.3443,10.97,G04103
198731685,284.5128,26.0817,9.81,G04103
198733566,284.5588,25.3531,8.7,G04103
198926932,285.0786,26.2114,8.95,G04103
198927192,285.0127,26.1265,9.99,G04103
215361955,295.0229,25.0915,8.64,G04103
215833781,295.1979,24.5746,7.42,G04103
215934882,295.1068,23.9892,9.23,G04103
